quality_attribute,project,count
Security,openbabel/openbabel/openbabel-3-1-1,81
Safety,openbabel/openbabel/openbabel-3-1-1,54
Deployability,hail-is/hail/0.2.133,1271
Usability,hail-is/hail/0.2.133,962
Testability,hail-is/hail/0.2.133,882
Availability,hail-is/hail/0.2.133,857
Modifiability,hail-is/hail/0.2.133,652
Performance,hail-is/hail/0.2.133,552
Integrability,hail-is/hail/0.2.133,510
Security,hail-is/hail/0.2.133,499
Energy Efficiency,hail-is/hail/0.2.133,281
Safety,hail-is/hail/0.2.133,257
Testability,google/deepvariant/v1.6.1,644
Usability,google/deepvariant/v1.6.1,584
Deployability,google/deepvariant/v1.6.1,345
Availability,google/deepvariant/v1.6.1,341
Modifiability,google/deepvariant/v1.6.1,256
Performance,google/deepvariant/v1.6.1,195
Integrability,google/deepvariant/v1.6.1,193
Safety,google/deepvariant/v1.6.1,170
Security,google/deepvariant/v1.6.1,81
Energy Efficiency,google/deepvariant/v1.6.1,67
Usability,broadinstitute/gatk/4.6.0.0,1586
Availability,broadinstitute/gatk/4.6.0.0,548
Deployability,broadinstitute/gatk/4.6.0.0,373
Testability,broadinstitute/gatk/4.6.0.0,365
Integrability,broadinstitute/gatk/4.6.0.0,188
Performance,broadinstitute/gatk/4.6.0.0,144
Modifiability,broadinstitute/gatk/4.6.0.0,143
Security,broadinstitute/gatk/4.6.0.0,105
Safety,broadinstitute/gatk/4.6.0.0,102
Energy Efficiency,broadinstitute/gatk/4.6.0.0,73
Usability,broadinstitute/cromwell/87,604
Availability,broadinstitute/cromwell/87,121
Testability,broadinstitute/cromwell/87,109
Deployability,broadinstitute/cromwell/87,107
Modifiability,broadinstitute/cromwell/87,107
Performance,broadinstitute/cromwell/87,80
Security,broadinstitute/cromwell/87,61
Integrability,broadinstitute/cromwell/87,60
Safety,broadinstitute/cromwell/87,48
Energy Efficiency,broadinstitute/cromwell/87,33
Deployability,allenai/scispacy/v0.5.5,107
Usability,allenai/scispacy/v0.5.5,72
Performance,allenai/scispacy/v0.5.5,57
Availability,allenai/scispacy/v0.5.5,37
Modifiability,allenai/scispacy/v0.5.5,27
Testability,allenai/scispacy/v0.5.5,27
Safety,allenai/scispacy/v0.5.5,22
Integrability,allenai/scispacy/v0.5.5,20
Security,allenai/scispacy/v0.5.5,14
Energy Efficiency,allenai/scispacy/v0.5.5,11
Integrability,OpenGene/fastp/v0.23.4,48
Modifiability,OpenGene/fastp/v0.23.4,46
Usability,OpenGene/fastp/v0.23.4,43
Energy Efficiency,OpenGene/fastp/v0.23.4,42
Safety,OpenGene/fastp/v0.23.4,28
Availability,OpenGene/fastp/v0.23.4,25
Deployability,OpenGene/fastp/v0.23.4,22
Performance,OpenGene/fastp/v0.23.4,6
Testability,OpenGene/fastp/v0.23.4,5
Security,OpenGene/fastp/v0.23.4,4
Usability,CliMA/Oceananigans.jl/v0.93.2,2083
Deployability,CliMA/Oceananigans.jl/v0.93.2,714
Testability,CliMA/Oceananigans.jl/v0.93.2,494
Availability,CliMA/Oceananigans.jl/v0.93.2,395
Integrability,CliMA/Oceananigans.jl/v0.93.2,357
Modifiability,CliMA/Oceananigans.jl/v0.93.2,321
Energy Efficiency,CliMA/Oceananigans.jl/v0.93.2,236
Performance,CliMA/Oceananigans.jl/v0.93.2,199
Safety,CliMA/Oceananigans.jl/v0.93.2,138
Security,CliMA/Oceananigans.jl/v0.93.2,128
Usability,COMBINE-lab/salmon/v1.10.1,364
Deployability,COMBINE-lab/salmon/v1.10.1,257
Integrability,COMBINE-lab/salmon/v1.10.1,203
Availability,COMBINE-lab/salmon/v1.10.1,163
Testability,COMBINE-lab/salmon/v1.10.1,101
Performance,COMBINE-lab/salmon/v1.10.1,99
Modifiability,COMBINE-lab/salmon/v1.10.1,69
Safety,COMBINE-lab/salmon/v1.10.1,69
Security,COMBINE-lab/salmon/v1.10.1,59
Energy Efficiency,COMBINE-lab/salmon/v1.10.1,50
