author,repo,tag,yml,no_extension,yaml,doc,md,toml,sample,idx,pack,py,test,h5ad,txt,json
scverse,scanpy,1.10.1,312,830,32,21096,90,247,790,6205,318511,38105,201141,9128,934,
scverse,scanpy,1.10.2,383,791,39,21740,100,260,790,6205,318511,38866,201489,9128,934,170.0
