quality_attribute,keyword,matched_word,sentence,source,author,repo,version,wiki,url
Usability,simpl,simplify,Use WaitGroup to simplify reading synchronously from multiple in-bound channels,MatchSource.ISSUE,scipipe,scipipe,v0.12.0,https://scipipe.org,https://github.com/scipipe/scipipe/issues/22
Usability,simpl,simplify,simplify function: remove if,MatchSource.ISSUE,scipipe,scipipe,v0.12.0,https://scipipe.org,https://github.com/scipipe/scipipe/pull/43
