Availability,Deployability,Energy Efficiency,Integrability,Modifiability,Performance,Safety,Security,Testability,Usability,total
48,32,1,58,107,33,4,2,21,10,316
25,13,71,12,142,41,3,2,3,4,316
31,2,3,103,83,5,7,56,2,23,315
20,46,2,72,105,32,3,1,22,11,314
52,78,10,35,12,28,48,9,25,17,314
64,13,41,95,37,32,1,9,12,9,313
51,23,15,9,61,70,10,44,11,18,312
9,28,8,116,58,22,7,11,28,24,311
20,49,4,72,94,35,3,1,24,8,310
21,19,0,8,47,12,4,1,194,3,309
9,28,8,117,57,22,7,11,24,24,307
53,36,6,36,29,101,14,25,1,6,307
20,43,2,66,106,29,3,1,28,9,307
53,36,6,36,29,101,14,25,1,6,307
56,42,9,62,47,38,3,1,18,31,307
20,44,7,69,99,30,4,1,24,8,306
91,4,10,38,33,45,27,2,40,15,305
91,4,10,38,33,45,27,2,40,15,305
20,45,2,71,100,30,4,1,24,8,305
20,45,2,71,100,30,4,1,24,8,305
20,45,2,69,100,30,4,1,24,8,303
20,44,2,71,100,28,3,1,24,9,302
62,11,39,93,35,31,1,9,12,9,302
20,44,2,67,101,29,3,1,25,9,301
20,43,12,66,95,29,3,1,24,8,301
133,9,3,34,91,8,6,0,5,12,301
21,44,4,67,94,29,3,1,24,13,300
21,43,2,67,98,29,3,1,26,8,298
20,43,5,66,94,33,3,1,25,8,298
20,43,6,66,95,31,3,1,24,9,298
20,42,2,67,100,30,4,1,24,8,298
3,22,118,13,6,48,3,5,80,0,298
3,22,118,13,6,48,3,5,80,0,298
34,47,4,69,69,36,3,6,18,11,297
34,47,4,69,69,36,3,6,18,11,297
34,47,4,69,69,36,3,6,18,11,297
20,43,3,67,97,30,3,1,24,9,297
20,43,2,67,99,29,3,1,24,9,297
33,49,3,72,66,37,3,4,18,11,296
20,42,2,65,100,30,4,1,24,8,296
89,3,10,38,32,44,26,2,36,15,295
9,28,8,114,50,22,7,11,23,23,295
9,28,9,115,50,21,6,11,23,23,295
20,43,3,70,92,30,3,1,24,9,295
21,42,2,65,101,28,3,1,24,8,295
20,43,4,67,95,29,3,1,24,9,295
21,42,2,65,101,28,3,1,24,8,295
3,22,116,13,6,48,3,4,80,0,295
3,19,226,2,30,15,0,0,0,0,295
20,42,2,65,96,32,3,1,24,9,294
20,39,2,70,97,29,3,1,24,9,294
3,20,227,2,27,15,0,0,0,0,294
3,22,118,12,6,48,3,4,78,0,294
3,22,118,12,6,48,3,4,78,0,294
19,7,11,40,17,82,47,19,22,30,294
30,14,139,38,20,23,1,7,16,5,293
3,20,226,2,27,15,0,0,0,0,293
3,20,226,2,27,15,0,0,0,0,293
3,20,226,2,27,15,0,0,0,0,293
22,43,2,66,92,29,3,1,26,8,292
20,43,2,66,94,29,3,1,24,9,291
20,43,2,67,94,29,3,1,24,8,291
20,43,2,66,95,29,3,1,24,8,291
20,43,2,66,94,29,3,1,24,9,291
20,43,2,67,93,29,3,1,24,9,291
20,43,2,67,93,29,3,1,24,9,291
3,22,116,12,6,48,3,3,78,0,291
20,43,2,67,92,29,3,1,24,9,290
25,23,57,29,0,134,12,3,5,2,290
25,27,14,118,39,19,5,11,12,19,289
20,43,2,66,92,29,3,1,24,9,289
20,43,2,66,92,29,3,1,24,9,289
20,43,2,66,92,29,3,1,24,9,289
20,40,6,62,96,28,3,1,24,8,288
20,43,2,66,92,29,3,1,24,8,288
20,43,2,66,92,29,3,1,24,8,288
20,43,2,66,92,29,3,1,24,8,288
3,22,112,13,6,46,3,4,79,0,288
33,47,3,71,64,37,3,3,18,8,287
22,37,2,59,103,27,4,1,24,8,287
3,22,114,13,6,46,3,4,76,0,287
31,100,6,29,9,10,5,17,52,28,287
20,40,2,62,97,28,3,1,24,9,286
16,10,103,12,27,104,3,4,6,1,286
33,47,3,70,64,36,3,3,18,8,285
62,11,39,83,28,31,1,9,12,9,285
62,11,39,83,28,31,1,9,12,9,285
71,46,42,14,15,44,16,16,6,15,285
71,46,42,14,15,44,16,16,6,15,285
33,47,3,70,64,35,3,3,18,8,284
3,22,112,12,6,46,3,3,77,0,284
16,10,101,12,27,104,3,4,6,1,284
27,38,3,60,91,28,3,1,24,8,283
20,39,2,61,94,28,3,1,24,11,283
21,38,4,60,91,33,3,1,24,8,283
3,22,114,12,6,46,3,3,74,0,283
20,38,2,60,98,28,3,1,24,8,282
23,10,38,11,146,38,2,3,3,8,282
5,8,0,3,260,2,1,0,2,1,282
21,37,2,59,99,27,3,1,24,8,281
72,46,40,14,15,43,16,16,6,13,281
72,46,40,14,15,43,16,16,6,13,281
72,46,40,14,15,43,16,16,6,13,281
72,46,40,14,15,43,16,16,6,13,281
32,64,6,23,32,7,3,12,89,13,281
20,40,2,62,91,28,3,1,24,9,280
44,8,8,9,69,72,15,22,10,22,279
146,6,5,14,40,3,3,10,42,10,279
21,38,2,61,91,28,3,1,26,8,279
20,38,5,60,91,28,3,1,24,9,279
144,6,5,14,40,4,3,10,42,10,278
15,4,16,57,43,74,3,60,4,2,278
15,4,16,57,43,74,3,60,4,2,278
3,22,110,13,5,46,3,3,73,0,278
3,22,110,13,5,46,3,3,73,0,278
22,38,2,60,91,28,3,1,24,8,277
20,38,2,60,92,28,3,1,25,8,277
59,6,0,47,27,70,22,14,28,4,277
3,22,110,12,5,46,3,3,73,0,277
3,22,110,12,5,46,3,3,73,0,277
20,38,2,60,91,28,3,1,24,9,276
12,2,31,2,220,5,0,2,0,2,276
12,2,31,2,220,5,0,2,0,2,276
3,19,214,2,28,10,0,0,0,0,276
20,38,2,60,91,28,3,1,24,8,275
20,37,2,59,91,30,3,1,24,8,275
18,38,13,53,89,32,2,1,21,8,275
20,38,2,60,91,28,3,1,24,8,275
20,38,2,60,91,28,3,1,24,8,275
15,29,1,55,68,77,2,1,19,8,275
20,38,2,60,91,28,3,1,24,8,275
20,38,2,60,91,28,3,1,24,8,275
20,38,2,60,91,28,3,1,24,8,275
20,38,2,60,91,28,3,1,24,8,275
20,38,2,60,91,28,3,1,24,8,275
6,27,199,1,32,9,0,0,0,0,274
6,27,199,1,32,9,0,0,0,0,274
3,22,110,12,5,46,3,2,71,0,274
3,22,110,12,5,46,3,2,71,0,274
6,27,199,1,32,9,0,0,0,0,274
6,27,199,1,32,9,0,0,0,0,274
3,22,110,11,5,46,3,2,71,0,273
3,22,110,11,5,46,3,2,71,0,273
22,10,38,11,138,38,2,3,3,8,273
67,41,40,15,13,43,16,16,6,13,270
0,0,0,0,2,0,0,268,0,0,270
46,42,8,42,44,38,2,1,18,27,268
0,0,80,67,33,11,0,22,55,0,268
15,36,1,57,94,32,2,1,19,10,267
41,39,17,17,30,52,7,10,36,18,267
23,6,93,18,84,24,1,7,5,4,265
23,6,93,18,84,24,1,7,5,4,265
18,0,1,6,16,185,2,4,0,32,264
18,0,1,6,16,185,2,4,0,32,264
25,11,41,14,123,39,2,3,2,4,264
66,39,41,16,13,39,16,15,6,13,264
66,39,41,16,13,39,16,15,6,13,264
66,39,41,16,13,39,16,15,6,13,264
66,39,41,16,13,39,16,15,6,13,264
66,39,41,16,13,39,16,15,6,13,264
66,38,41,16,13,39,16,15,6,13,263
66,38,41,16,13,39,16,15,6,13,263
66,38,41,16,13,39,16,15,6,13,263
66,38,41,16,13,39,16,15,6,13,263
66,38,41,16,13,39,16,15,6,13,263
15,13,64,9,26,99,2,4,29,1,262
15,13,64,9,26,99,2,4,29,1,262
66,37,41,16,13,39,16,15,6,13,262
212,3,4,5,28,3,0,1,5,0,261
30,61,16,55,14,19,8,0,42,16,261
64,38,41,16,13,39,16,15,6,13,261
36,8,8,9,70,61,15,22,10,21,260
36,8,8,9,69,61,16,22,10,21,260
41,8,11,26,28,64,16,25,11,29,259
30,14,112,32,20,21,1,7,16,5,258
30,14,112,32,20,21,1,7,16,5,258
14,11,64,9,24,99,2,4,30,1,258
14,11,64,9,24,99,2,4,30,1,258
13,10,68,8,23,100,2,3,29,1,257
1,11,66,23,83,56,0,0,17,0,257
90,7,5,21,4,13,6,6,78,26,256
64,38,41,16,13,34,16,15,6,13,256
64,38,41,16,13,34,16,15,6,13,256
21,4,34,26,34,69,6,25,12,25,256
45,41,9,32,43,37,3,1,16,28,255
2,10,109,11,6,46,3,3,64,1,255
2,10,109,11,6,46,3,3,64,1,255
63,38,41,16,13,34,16,15,6,13,255
63,38,41,16,13,34,16,15,6,13,255
63,38,41,16,13,34,16,15,6,13,255
63,38,41,16,13,34,16,14,5,13,253
63,38,41,16,13,34,16,14,5,13,253
63,38,40,16,13,34,17,14,5,13,253
63,38,41,16,13,34,16,14,5,13,253
63,38,40,16,13,34,17,14,5,13,253
63,38,41,16,13,34,16,14,5,13,253
63,38,41,16,13,34,16,14,5,13,253
63,38,40,16,13,34,17,14,5,13,253
0,0,0,0,93,129,0,0,0,31,253
30,45,5,6,72,33,19,24,12,7,253
17,35,3,63,66,33,2,1,21,11,252
24,25,1,51,72,30,4,2,35,8,252
120,9,1,32,16,27,21,17,8,1,252
30,13,112,32,19,21,1,5,16,3,252
42,7,12,21,6,1,1,1,158,3,252
67,37,3,10,51,25,3,2,49,5,252
62,38,40,16,13,34,17,14,5,13,252
63,38,40,16,13,34,16,14,5,13,252
63,38,40,16,13,34,16,14,5,13,252
63,38,40,16,13,34,16,14,5,13,252
134,5,5,14,30,1,3,10,40,9,251
37,8,11,26,28,64,16,23,11,27,251
30,33,56,8,14,93,10,0,7,0,251
30,33,56,8,14,93,10,0,7,0,251
2,10,109,10,6,46,3,2,62,1,251
2,10,109,10,6,46,3,2,62,1,251
62,38,39,16,13,34,17,14,5,13,251
47,4,16,70,27,41,11,30,0,4,250
42,7,12,21,6,1,1,1,156,3,250
42,7,12,21,6,1,1,1,156,3,250
42,7,12,21,6,1,1,1,156,3,250
42,7,12,21,6,1,1,1,156,3,250
15,10,2,9,17,8,10,9,130,39,249
15,32,1,57,63,51,2,1,19,8,249
2,10,107,11,5,45,3,3,63,0,249
2,10,107,11,5,45,3,3,63,0,249
60,35,39,16,13,34,17,14,5,13,246
60,35,39,16,13,34,17,14,5,13,246
60,35,39,16,13,34,17,14,5,13,246
60,35,39,16,13,34,17,14,5,13,246
60,35,39,16,13,34,17,14,5,13,246
60,35,39,16,13,34,17,14,5,13,246
60,35,39,16,13,34,17,14,5,13,246
60,35,39,16,13,34,17,14,5,13,246
17,7,6,27,11,75,40,16,20,26,245
2,10,107,10,5,45,3,2,61,0,245
2,10,107,10,5,45,3,2,61,0,245
17,7,6,27,11,75,39,17,20,26,245
17,26,2,54,87,27,2,1,19,9,244
99,13,4,42,40,17,5,2,6,16,244
23,25,1,50,82,29,2,1,21,9,243
14,9,0,75,34,66,3,2,24,16,243
15,26,93,21,7,65,2,7,6,1,243
15,31,1,55,59,51,2,1,19,8,242
34,33,55,9,16,79,9,0,7,0,242
34,33,55,9,16,79,9,0,7,0,242
59,35,39,16,13,34,17,11,5,13,242
59,35,39,16,13,34,17,11,5,13,242
59,35,39,16,13,34,17,11,5,13,242
15,28,1,53,66,48,2,1,19,8,241
34,7,8,9,73,41,17,22,9,19,239
34,32,57,9,16,75,9,0,7,0,239
34,32,57,9,16,75,9,0,7,0,239
21,21,0,2,77,30,1,6,79,1,238
34,7,7,9,68,46,16,22,9,19,237
22,29,1,55,65,28,2,1,25,8,236
15,9,2,9,17,8,10,8,118,39,235
16,30,5,58,65,29,2,1,19,9,234
45,35,8,30,37,37,3,1,15,23,234
59,35,39,16,8,34,17,11,5,10,234
59,35,39,16,8,34,17,11,5,10,234
0,4,0,0,0,2,69,0,156,3,234
4,6,2,9,46,98,2,1,53,12,233
19,25,1,64,65,27,2,2,19,9,233
45,35,8,30,37,37,3,1,15,22,233
45,35,8,30,37,37,3,1,15,22,233
58,35,39,16,8,34,17,11,5,10,233
58,35,39,16,8,34,17,11,5,10,233
58,35,39,16,8,34,17,11,5,10,233
58,35,39,16,8,34,17,11,5,10,233
58,35,39,16,8,34,17,11,5,10,233
58,35,39,16,8,34,17,11,5,10,233
58,35,39,16,8,34,17,11,5,10,233
58,35,39,16,8,34,17,11,5,10,233
58,35,39,16,8,34,17,11,5,10,233
34,7,6,9,68,41,17,22,9,18,231
128,5,5,11,30,1,3,10,28,9,230
15,25,1,50,61,26,2,1,41,8,230
128,5,4,11,30,1,3,10,28,9,229
32,0,35,45,87,5,0,1,23,1,229
128,5,4,11,29,1,3,10,28,9,228
15,31,1,58,57,33,2,1,19,11,228
15,24,89,20,7,57,2,7,6,1,228
19,30,1,57,58,31,2,1,19,9,227
55,35,39,15,8,32,17,11,5,9,226
55,35,39,15,8,32,17,11,5,9,226
16,25,1,52,60,27,2,5,26,11,225
15,31,5,56,57,28,2,1,19,10,224
37,6,9,19,23,53,16,24,14,23,224
64,1,1,4,40,2,1,1,100,10,224
17,31,1,57,57,29,2,1,19,9,223
53,35,39,15,8,31,17,11,5,9,223
53,35,39,15,8,31,17,11,5,9,223
53,35,39,15,8,31,17,11,5,9,223
53,35,39,15,8,31,17,11,5,9,223
53,35,39,15,8,31,17,11,5,9,223
53,35,39,15,8,30,17,11,5,9,222
53,35,39,15,8,30,17,11,5,9,222
53,35,39,15,8,30,17,11,5,9,222
53,35,39,15,8,30,17,11,5,9,222
53,35,39,15,8,30,17,11,5,9,222
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
53,34,39,15,8,30,17,11,5,9,221
15,7,90,10,25,60,2,4,6,1,220
53,34,39,15,8,29,17,11,5,9,220
53,34,39,15,8,29,17,11,5,9,220
53,34,39,15,8,29,17,11,5,9,220
53,34,39,15,8,29,17,11,5,9,220
53,34,39,15,8,29,17,11,5,9,220
53,34,39,15,8,29,17,11,5,9,220
53,34,39,15,8,29,17,11,5,9,220
53,34,39,15,8,29,17,11,5,9,220
53,34,39,15,8,28,17,11,5,10,220
53,34,39,15,8,28,17,11,5,10,220
53,34,39,15,8,29,17,11,5,9,220
53,34,39,15,8,29,17,11,5,9,220
20,6,73,11,80,18,0,5,2,4,219
20,6,73,11,80,18,0,5,2,4,219
15,24,86,20,7,51,2,7,6,1,219
27,47,2,9,62,27,5,3,30,7,219
35,6,9,19,23,53,16,22,14,21,218
15,30,2,56,58,27,2,1,19,8,218
15,25,1,50,65,26,2,1,24,9,218
51,34,39,15,8,28,17,11,5,10,218
16,27,2,52,58,28,3,1,19,11,217
15,29,5,54,57,26,2,1,19,9,217
7,78,14,94,17,6,0,0,0,1,217
1,10,98,11,5,44,3,3,42,0,217
1,10,98,11,5,44,3,3,42,0,217
15,29,1,54,61,26,2,1,19,8,216
50,34,39,15,8,28,17,11,5,9,216
16,27,2,52,57,28,3,1,17,11,214
39,36,12,25,25,27,10,18,16,6,214
23,25,1,50,59,26,2,1,19,8,214
15,25,1,50,57,28,2,3,19,14,214
15,18,10,18,8,50,14,51,14,16,214
49,34,39,15,7,28,17,11,5,9,214
49,34,39,15,7,28,17,11,5,9,214
49,34,39,15,7,28,17,11,5,9,214
49,34,39,15,7,28,17,11,5,9,214
24,45,13,50,10,17,8,0,35,11,213
42,13,23,63,24,23,1,6,11,7,213
1,10,98,10,5,44,3,2,40,0,213
1,10,98,10,5,44,3,2,40,0,213
49,33,39,15,7,28,17,11,5,9,213
49,33,39,15,7,28,17,11,5,9,213
49,33,39,15,7,28,17,11,5,9,213
49,33,39,15,7,28,17,11,5,9,213
5,0,1,88,82,11,1,10,10,5,213
66,10,0,56,27,36,6,8,2,1,212
15,25,1,50,63,28,2,1,19,8,212
15,25,1,51,57,33,2,1,19,8,212
49,33,38,15,7,28,17,11,5,9,212
22,39,1,49,33,17,4,5,41,1,212
35,3,0,13,33,71,27,17,9,3,211
35,3,0,13,33,71,27,17,9,3,211
16,25,1,50,63,26,2,1,19,8,211
15,28,1,54,57,26,2,1,19,8,211
34,116,0,15,4,3,1,5,29,4,211
24,13,44,47,45,6,24,4,1,3,211
16,25,1,50,62,26,2,1,19,8,210
16,25,1,50,62,26,2,1,19,8,210
16,25,1,50,62,26,2,1,19,8,210
15,25,1,50,60,26,2,1,19,11,210
55,17,8,37,35,9,6,2,39,1,209
15,25,2,50,61,26,2,1,19,8,209
15,27,1,52,57,26,2,1,19,9,209
15,25,1,50,57,31,2,1,19,8,209
15,25,1,52,58,26,2,2,19,9,209
15,25,1,50,60,26,2,1,19,9,208
16,25,1,51,58,26,2,1,19,9,208
15,25,1,50,57,26,2,1,22,8,207
15,25,1,50,60,26,2,1,19,8,207
15,25,1,50,60,26,2,1,19,8,207
15,25,1,50,60,26,2,1,19,8,207
15,25,1,50,57,29,2,1,19,8,207
15,25,1,50,57,26,2,1,19,9,205
15,25,1,50,57,26,2,1,19,9,205
15,25,1,50,58,26,2,1,19,8,205
15,25,1,51,57,26,2,1,19,8,205
15,25,1,50,57,27,2,1,19,8,205
